LGOROWLENGTH	12				
P2P	51	Dithered			
NUMBER_OF_FIELDS	6				
BEGIN_DATA_FORMAT					
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT					
NUMBER_OF_SETS	300				
BEGIN_DATA					
260	V5	62.5	43.251	70.29	0
272	W5	62.5	52.264	70.29	0
284	X5	62.5	61.277	70.29	0
296	Y5	62.5	70.29	70.29	0
9	A4	37.5	14.986	14.986	0
21	B4	37.5	21.986	14.986	0
33	C4	37.5	28.986	14.986	0
45	D4	37.5	35.986	14.986	0
57	E4	37.5	42.986	14.986	0
69	F4	37.5	14.986	21.986	0
81	G4	37.5	21.986	21.986	0
93	H4	37.5	28.986	21.986	0
105	I4	37.5	35.986	21.986	0
117	J4	37.5	42.986	21.986	0
129	K4	37.5	14.986	28.986	0
141	L4	37.5	21.986	28.986	0
153	M4	37.5	28.986	28.986	0
165	N4	37.5	35.986	28.986	0
177	O4	37.5	42.986	28.986	0
189	P4	37.5	14.986	35.986	0
201	Q4	37.5	21.986	35.986	0
213	R4	37.5	28.986	35.986	0
225	S4	37.5	35.986	35.986	0
237	T4	37.5	42.986	35.986	0
249	U4	37.5	14.986	42.986	0
261	V4	37.5	21.986	42.986	0
273	W4	37.5	28.986	42.986	0
285	X4	37.5	35.986	42.986	0
297	Y4	37.5	42.986	42.986	0
10	A3	12.5	3.331	3.331	0
22	B3	12.5	6.331	3.331	0
34	C3	12.5	9.331	3.331	0
46	D3	12.5	12.331	3.331	0
58	E3	12.5	15.331	3.331	0
70	F3	12.5	3.331	6.331	0
82	G3	12.5	6.331	6.331	0
94	H3	12.5	9.331	6.331	0
106	I3	12.5	12.331	6.331	0
118	J3	12.5	15.331	6.331	0
130	K3	12.5	3.331	9.331	0
142	L3	12.5	6.331	9.331	0
154	M3	12.5	9.331	9.331	0
166	N3	12.5	12.331	9.331	0
178	O3	12.5	15.331	9.331	0
190	P3	12.5	3.331	12.331	0
202	Q3	12.5	6.331	12.331	0
214	R3	12.5	9.331	12.331	0
226	S3	12.5	12.331	12.331	0
238	T3	12.5	15.331	12.331	0
250	U3	12.5	3.331	15.331	0
262	V3	12.5	6.331	15.331	0
274	W3	12.5	9.331	15.331	0
286	X3	12.5	12.331	15.331	0
298	Y3	12.5	15.331	15.331	0
11	A2	75	48.068	48.068	0
23	B2	75	57.095	48.068	0
35	C2	75	66.122	48.068	0
47	D2	75	75.149	48.068	0
59	E2	75	84.176	48.068	0
71	F2	75	48.068	57.095	0
83	G2	75	57.095	57.095	0
95	H2	75	66.122	57.095	0
107	I2	75	75.149	57.095	0
119	J2	75	84.176	57.095	0
131	K2	75	48.068	66.122	0
143	L2	75	57.095	66.122	0
155	M2	75	66.122	66.122	0
167	N2	75	75.149	66.122	0
179	O2	75	84.176	66.122	0
191	P2	75	48.068	75.149	0
203	Q2	75	57.095	75.149	0
215	R2	75	66.122	75.149	0
227	S2	75	75.149	75.149	0
239	T2	75	84.176	75.149	0
251	U2	75	48.068	84.176	0
263	V2	75	57.095	84.176	0
275	W2	75	66.122	84.176	0
287	X2	75	75.149	84.176	0
299	Y2	75	84.176	84.176	0
12	A1	87.5	63.839	63.839	0
24	B1	87.5	72.879	63.839	0
36	C1	87.5	81.919	63.839	0
48	D1	87.5	90.959	63.839	0
60	E1	87.5	99.999	63.839	0
72	F1	87.5	63.839	72.879	0
84	G1	87.5	72.879	72.879	0
96	H1	87.5	81.919	72.879	0
108	I1	87.5	90.959	72.879	0
120	J1	87.5	99.999	72.879	0
132	K1	87.5	63.839	81.919	0
144	L1	87.5	72.879	81.919	0
156	M1	87.5	81.919	81.919	0
168	N1	87.5	90.959	81.919	0
180	O1	87.5	99.999	81.919	0
192	P1	87.5	63.839	90.959	0
204	Q1	87.5	72.879	90.959	0
216	R1	87.5	81.919	90.959	0
228	S1	87.5	90.959	90.959	0
240	T1	87.5	99.999	90.959	0
252	U1	87.5	63.839	99.999	0
264	V1	87.5	72.879	99.999	0
276	W1	87.5	81.919	99.999	0
288	X1	87.5	90.959	99.999	0
300	Y1	87.5	99.999	99.999	0
END_DATA
